,Titre,Company,Location,Salary,Summaries
0,Alternance - Data Scientist H/F,Malakoff Humanis,Paris (75),750 € - 1 500 € par mois,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.
1,Data Scientist H/F,CCM Benchmark Group,Asnières-sur-Seine (92),1 500 € par mois,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients."
2,Data Analyst (F/H),MODULO,Châtillon (92),50 000 € - 60 000 € par an,"De formation Bac+5 écoles d’ingénieurs, formation universitaire statistiques / mathématiques, école de commerce complétée d’un cycle sur la data science."
3,Développeur(se) Python services B2B H/F,Esmoz,Paris 18e (75),40 000 € - 55 000 € par an,"Au sein de l'équipe Connaissance Client, composée de 5 data scientists, de la direction Marketing et Expérience Client Entreprises, vos missions auront pour but…"
4,Alternance - Assistant Data Analyst/PMO H/F,Gandi,Paris (75),750 € - 1 500 € par mois,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…"
5,Développeur confirmé H/F,VONA,Levallois-Perret (92),800 € par mois,"Business Developer – Stage de fin d’études – Juillet 2020 *.
Esmoz est une société de conseil spécialisée en Data, Intelligence Artificielle et nouvelles…"
6,Data Analyst·(e) - Stagiaire H/F,Joko,Paris 9e (75),2 900 € - 3 400 € par mois,"Stagiaire data analyst(e) h/f ou similaire: 1 an (Souhaité).
Depuis 2010, VONA Consulting, cabinet de conseil indépendant, accompagne les entreprises dans leur…"
7,CDI Data Analyst - Scientist - Connaissance Client F/H,FORTIA Financial Solutions,Gennevilliers (92),50 000 € par an,"Tu travailleras au sein de l'équipe Data Science en interaction directe avec l'équipe de développeurs.
Tu seras responsable du développement d'algorithmes de…"
8,DATA SCIENTIST / MACHINE LEARNING RESEARCHER INTERN,Maisons du Monde,Paris 18e (75),45 000 € - 70 000 € par an,"Proposer de nouveaux usecase data driven permettant de moderniser la gestion de nos abonnés.
Développer les scores et segmentations nécessaires à notre…"
9,BUSINESS ANALYST H/F,Groupe CANAL+,Paris (75),50 000 € par an,"Business analyst h/f ou similaire: 5 ans (Souhaité).
Fortia Financial Solutions* est une Fintech créée en 2012 et basée sur Paris."
