,Titre,Company,Summaries,avg,cityfrance,city
0,Alternance - Data Scientist H/F,Malakoff Humanis,Nous recherchons un business data analyst passionné pour rejoindre l’équipe Analytics en pleine croissance au sein du Groupe Pierre & Vacances Center Parcs.,1125.0,['Paris (75)'],Paris (75)
1,Data Scientist H/F,CCM Benchmark Group,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients.",1500.0,['Asnières-sur-Seine (92)'],Asnières-sur-Seine (92)
4,Alternance - Assistant Data Analyst/PMO H/F,Gandi,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…",1125.0,['Paris (75)'],Paris (75)
5,Développeur confirmé H/F,VONA,"Business Developer – Stage de fin d’études – Juillet 2020 *.
Esmoz est une société de conseil spécialisée en Data, Intelligence Artificielle et nouvelles…",800.0,['Levallois-Perret (92)'],Levallois-Perret (92)
6,Data Analyst·(e) - Stagiaire H/F,Joko,"Stagiaire data analyst(e) h/f ou similaire: 1 an (Souhaité).
Depuis 2010, VONA Consulting, cabinet de conseil indépendant, accompagne les entreprises dans leur…",3150.0,['Paris 9e (75)'],Paris 9e (75)
10,Alternant(e) Data Analyst H/F,BCA Expertise,"Organiser la collecte des données métier : data exploration (outils et scripts).
Contribuez à révolutionner la gestion de projet en utilisant vos connaissances…",6.0,['Île-de-France'],Île-de-France
11,Data Scientist H/F,Sarenza,"Approfondir les nouvelles techniques de traitements des plateformes big data.
Première chaîne de télévision généraliste française, le Groupe TF1 ne compte pas…",1125.0,['Paris (75)'],Paris (75)
12,Consultant Risk Data Analyst / Data Scientist (H/F),NEOBRAIN,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients.",1125.0,['Châtillon (92)'],Châtillon (92)
14,Data Scientist – Machine Learning – Artificial Intelligence,Inex Circular,"Data scientist h/f : 2 ans (Souhaité).
En tant que Data Scientist au sein de cette équipe, tu travailleras en étroite collaboration avec des data engineers et…",6.0,['Levallois-Perret (92)'],Levallois-Perret (92)
16,Développeur 3D - Unity,OpenClassrooms,"Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
Élaborer les systèmes auto apprenant.",1125.0,['Asnières-sur-Seine (92)'],Asnières-sur-Seine (92)
18,Développeur Junior en alternance (H/F),Stormshield,"La réalisation d'analyses de data mining répondant à une problématique de l'entreprise, de la direction Pilotage Performance ou de l'un de nos clients.",1600.0,['Paris 2e (75)'],Paris 2e (75)
